freq,psd_x,psd_y,psd_z,psd_xyz,zv(54.0),mzv(43.8),ei(52.4),2hump_ei(65.6),3hump_ei(78.8)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,9.802e-13,6.101e-14,6.592e-15,1.048e-12,0.995,0.991,0.990,0.988,0.987
3.0,2.947e-01,4.577e-02,4.830e-03,3.453e-01,0.989,0.979,0.976,0.972,0.969
4.5,2.334e+01,7.591e+00,7.365e-01,3.167e+01,0.980,0.963,0.958,0.952,0.947
6.1,1.057e+02,4.283e+01,4.587e+00,1.531e+02,0.970,0.943,0.936,0.928,0.921
7.6,1.996e+02,9.643e+01,9.249e+00,3.052e+02,0.958,0.920,0.911,0.900,0.891
9.1,2.955e+02,8.615e+01,1.291e+01,3.945e+02,0.944,0.894,0.882,0.869,0.858
10.6,3.703e+02,1.144e+02,1.399e+01,4.987e+02,0.928,0.865,0.851,0.835,0.822
12.1,3.910e+02,1.312e+02,1.063e+01,5.328e+02,0.911,0.834,0.816,0.798,0.783
13.6,4.205e+02,1.503e+02,9.738e+00,5.805e+02,0.892,0.800,0.780,0.759,0.742
15.1,4.764e+02,1.232e+02,9.739e+00,6.093e+02,0.872,0.763,0.740,0.717,0.699
16.7,5.497e+02,1.340e+02,1.078e+01,6.944e+02,0.850,0.725,0.699,0.675,0.655
18.2,6.369e+02,9.958e+01,8.944e+00,7.454e+02,0.827,0.685,0.657,0.630,0.609
19.7,7.544e+02,9.501e+01,7.513e+00,8.569e+02,0.802,0.643,0.613,0.586,0.563
21.2,8.920e+02,1.115e+02,6.876e+00,1.010e+03,0.776,0.600,0.568,0.540,0.517
22.7,1.031e+03,1.167e+02,6.798e+00,1.155e+03,0.748,0.556,0.523,0.495,0.471
24.2,1.097e+03,1.103e+02,9.687e+00,1.217e+03,0.719,0.512,0.478,0.450,0.426
25.7,1.271e+03,1.288e+02,1.028e+01,1.410e+03,0.689,0.467,0.433,0.405,0.382
27.3,1.560e+03,1.406e+02,8.290e+00,1.709e+03,0.658,0.422,0.388,0.362,0.339
28.8,1.973e+03,1.870e+02,6.409e+00,2.167e+03,0.626,0.378,0.344,0.320,0.298
30.3,2.687e+03,3.076e+02,6.555e+00,3.001e+03,0.593,0.334,0.302,0.280,0.259
31.8,3.210e+03,3.965e+02,7.692e+00,3.615e+03,0.559,0.290,0.261,0.241,0.222
