freq,psd_x,psd_y,psd_z,psd_xyz,zv(46.2),mzv(28.8),ei(39.6),2hump_ei(39.2),3hump_ei(48.0)
0.0,0.000e+00,0.000e+00,0.000e+00,0.000e+00,1.000,1.000,1.000,1.000,1.000
1.5,5.886e-16,7.505e-16,1.324e-15,2.663e-15,0.994,0.985,0.986,0.978,0.976
3.0,5.248e-04,7.554e-04,1.002e-03,2.283e-03,0.986,0.962,0.965,0.944,0.940
4.5,9.878e-02,1.774e-01,1.575e-01,4.337e-01,0.975,0.931,0.937,0.899,0.894
6.1,5.910e-01,6.506e-01,8.468e-01,2.088e+00,0.962,0.892,0.903,0.845,0.838
7.6,1.045e+00,1.444e+00,1.737e+00,4.226e+00,0.946,0.847,0.863,0.784,0.775
9.1,1.508e+00,7.917e+00,2.630e+00,1.206e+01,0.928,0.795,0.819,0.716,0.706
10.6,1.761e+00,2.598e+01,3.694e+00,3.143e+01,0.908,0.739,0.769,0.643,0.633
12.1,1.501e+00,4.394e+01,5.049e+00,5.049e+01,0.885,0.678,0.717,0.568,0.557
13.6,1.588e+00,8.553e+01,5.776e+00,9.290e+01,0.861,0.614,0.661,0.492,0.482
15.1,1.650e+00,8.373e+01,1.567e+01,1.010e+02,0.834,0.547,0.603,0.417,0.408
16.7,1.586e+00,9.565e+01,1.883e+01,1.161e+02,0.805,0.479,0.543,0.345,0.337
18.2,1.435e+00,9.943e+01,7.277e+00,1.081e+02,0.775,0.411,0.483,0.277,0.271
19.7,1.519e+00,9.994e+01,7.827e+00,1.093e+02,0.743,0.344,0.424,0.214,0.210
21.2,4.281e+00,1.273e+02,2.959e+01,1.612e+02,0.708,0.278,0.365,0.158,0.157
22.7,2.499e+01,1.658e+02,8.319e+01,2.739e+02,0.673,0.215,0.308,0.109,0.112
24.2,8.269e+01,2.655e+02,1.521e+02,5.004e+02,0.636,0.155,0.254,0.070,0.076
25.7,1.316e+02,3.162e+02,3.068e+02,7.546e+02,0.597,0.100,0.203,0.041,0.051
27.3,1.180e+02,2.267e+02,4.117e+02,7.565e+02,0.557,0.054,0.156,0.028,0.038
28.8,7.850e+01,1.765e+02,2.646e+02,5.196e+02,0.517,0.035,0.114,0.030,0.037
30.3,1.869e+02,1.586e+02,1.349e+02,4.804e+02,0.475,0.046,0.077,0.036,0.039
31.8,3.524e+02,8.065e+01,1.190e+02,5.520e+02,0.432,0.074,0.046,0.038,0.040
33.3,1.616e+02,2.738e+01,7.527e+01,2.642e+02,0.388,0.099,0.024,0.036,0.038
34.8,3.738e+01,2.052e+01,2.418e+01,8.209e+01,0.344,0.117,0.021,0.031,0.033
36.3,1.045e+01,1.538e+01,9.026e+00,3.486e+01,0.299,0.129,0.030,0.022,0.026
37.9,3.444e+00,1.429e+01,3.141e+01,4.914e+01,0.254,0.133,0.037,0.013,0.018
39.4,1.904e+00,3.224e+01,1.444e+02,1.786e+02,0.209,0.131,0.040,0.011,0.012
40.9,1.934e+00,3.849e+01,1.865e+02,2.269e+02,0.164,0.121,0.037,0.014,0.013
42.4,8.078e+00,3.304e+01,8.594e+01,1.271e+02,0.120,0.105,0.031,0.023,0.018
43.9,5.698e+01,1.142e+02,3.441e+01,2.056e+02,0.087,0.093,0.028,0.029,0.024
45.4,9.749e+01,1.479e+02,1.089e+01,2.563e+02,0.065,0.084,0.030,0.032,0.028
46.9,5.776e+01,1.236e+02,4.624e+00,1.860e+02,0.065,0.080,0.039,0.030,0.030
48.5,4.318e+01,3.044e+02,2.414e+00,3.499e+02,0.086,0.084,0.057,0.027,0.030
50.0,9.123e+01,3.826e+02,7.329e+00,4.811e+02,0.117,0.098,0.088,0.027,0.027
51.5,1.072e+02,1.646e+02,3.564e+01,3.074e+02,0.160,0.119,0.122,0.030,0.022
